"","chron_position","movie_name","location","time_start","time_stop","duration_mins","release_order","US_release_date","movie_chron","run_time","fudged_times"
"1",1,"THOR: THE DARK WORLD","Prologue",00:00:00,00:03:45,00:03:45,8,2013-11-08,9,01:52:00,"no"
"2",2,"THOR: RAGNAROK","Flashback sequence",01:19:13,01:19:54,00:00:41,17,2017-11-03,19,02:10:00,"no"
"3",3,"THOR","Second prologue",00:03:20,00:07:34,00:04:14,4,2011-05-06,6,01:55:00,"no"
"4",4,"BLACK PANTHER","First prologue",00:00:00,00:01:43,00:01:43,18,2018-02-16,17,02:14:00,"no"
"5",5,"CAPTAIN AMERICA: THE WINTER SOLDIER","Flashback scene",01:32:28,01:33:17,00:00:49,9,2014-04-04,10,02:16:00,"no"
"6",6,"CAPTAIN AMERICA: THE FIRST AVENGER","Most",00:03:38,01:50:30,01:46:52,5,2011-07-22,1,02:04:00,"no"
"7",7,"GUARDIANS OF THE GALAXY VOL. 2","Prologue",00:00:00,00:02:47,00:02:47,15,2017-05-05,12,02:16:00,"no"
"8",8,"ANT-MAN AND THE WASP","Most of the prologue",00:00:00,00:02:40,00:02:40,20,2018-07-06,20,01:58:00,"no"
"9",9,"GUARDIANS OF THE GALAXY","Prologue",00:00:00,00:03:40,00:03:40,10,2014-08-01,11,02:01:00,"no"
"10",10,"ANT-MAN","Prologue",00:00:00,00:02:06,00:02:06,12,2015-07-17,14,01:57:00,"no"
"11",11,"CAPTAIN MARVEL","Flashback scene",01:06:20,01:11:15,00:04:55,21,2019-03-08,2,02:03:00,"no"
"12",12,"AVENGERS: INFINITY WAR","Flashback scene",00:42:20,00:44:23,00:02:03,19,2018-04-27,21,02:29:00,"no"
"13",13,"CAPTAIN AMERICA: CIVIL WAR","Prologue",00:00:00,00:02:40,00:02:40,13,2016-05-06,15,02:27:00,"no"
"14",14,"CAPTAIN AMERICA: CIVIL WAR","Some of the flashback",01:12:54,01:14:20,00:01:26,13,2016-05-06,15,02:27:00,"no"
"15",15,"BLACK PANTHER","Second prologue",00:01:43,00:06:22,00:04:39,18,2018-02-16,17,02:14:00,"no"
"16",16,"CAPTAIN MARVEL","First half",00:00:00,01:06:20,01:06:20,21,2019-03-08,2,02:03:00,"no"
"17",17,"CAPTAIN MARVEL","Last act",01:11:15,01:54:55,00:43:40,21,2019-03-08,2,02:03:00,"no"
"18",18,"CAPTAIN MARVEL","Second post-credits scene",02:01:00,02:03:00,00:02:00,21,2019-03-08,2,02:03:00,"yes"
"19",19,"ANT-MAN AND THE WASP","Flashback scene",00:46:43,00:47:05,00:00:22,20,2018-07-06,20,01:58:00,"no"
"20",20,"IRON MAN 3","Most of the prologue",00:00:25,00:04:51,00:04:26,7,2013-05-03,8,02:10:00,"no"
"21",21,"THE INCREDIBLE HULK","Opening credits",00:00:00,00:03:03,00:03:03,2,2008-06-13,5,01:52:00,"no"
"22",22,"IRON MAN","Some of the first act",00:04:14,00:16:25,00:12:11,1,2008-05-02,3,02:06:00,"no"
"23",23,"IRON MAN","Prologue",00:00:00,00:03:50,00:03:50,1,2008-05-02,3,02:06:00,"no"
"24",24,"IRON MAN","A bit more",00:16:25,00:22:05,00:05:40,1,2008-05-02,3,02:06:00,"no"
"25",25,"IRON MAN","A bit more of the prologue",00:03:50,00:04:14,00:00:24,1,2008-05-02,3,02:06:00,"no"
"26",26,"IRON MAN","Most",00:22:05,02:04:00,01:41:55,1,2008-05-02,3,02:06:00,"yes"
"27",27,"IRON MAN 2","First prologue",00:00:00,00:02:39,00:02:39,3,2010-05-07,4,02:04:00,"no"
"28",28,"IRON MAN","Post-credits scene",02:04:00,02:06:00,00:02:00,1,2008-05-02,3,02:06:00,"yes"
"29",29,"IRON MAN 2","Second prologue",00:02:39,00:05:00,00:02:21,3,2010-05-07,4,02:04:00,"no"
